field	package
Imports	cluster
Imports	cli
Imports	curl
Imports	digest
Imports	dplyr
Imports	ggplot2
Imports	glue
Imports	jsonlite
Imports	logger
Imports	Matrix
Imports	methods
Imports	rlang
Imports	tictoc
Imports	RColorBrewer
Imports	stringr
Imports	tibble
Suggests	anndataR
Suggests	apeglm
Suggests	aplot
Suggests	AUCell
Suggests	BayesPrism
Suggests	Banksy
Suggests	BiocManager
Suggests	BiocNeighbors
Suggests	BiocParallel
Suggests	BiocSingular
Suggests	BPCells
Suggests	catplot
Suggests	decontX
Suggests	CellChat
Suggests	clusterProfiler
Suggests	ComplexHeatmap
Suggests	Coralysis
Suggests	Coralysis2
Suggests	COSG
Suggests	copykat
Suggests	data.table
Suggests	DBI
Suggests	DESeq2
Suggests	DelayedArray
Suggests	decoupleR
Suggests	dorothea
Suggests	DOSE
Suggests	edgeR
Suggests	ellmer
Suggests	enrichit
Suggests	GapClust
Suggests	GENIE3
Suggests	ggrepel
Suggests	ggridges
Suggests	ggrastr
Suggests	glmGamPoi
Suggests	GSEABase
Suggests	GSVA
Suggests	harmony
Suggests	hdf5r
Suggests	HGNChelper
Suggests	irlba
Suggests	knitr
Suggests	ks
Suggests	leidenbase
Suggests	liana
Suggests	lisi
Suggests	limma
Suggests	miloR
Suggests	monocle3
Suggests	MatrixGenerics
Suggests	msigdbr
Suggests	multinichenetr
Suggests	Nebulosa
Suggests	nichenetr
Suggests	nnSVG
Suggests	org.Hs.eg.db
Suggests	org.Mm.eg.db
Suggests	patchwork
Suggests	pkgdown
Suggests	progeny
Suggests	qs2
Suggests	readr
Suggests	remotes
Suggests	rhdf5
Suggests	rio
Suggests	ROGUE
Suggests	RSQLite
Suggests	RPostgres
Suggests	RareQ
Suggests	rmarkdown
Suggests	rtracklayer
Suggests	scales
Suggests	S4Vectors
Suggests	scDblFinder
Suggests	scDesign3
Suggests	scMetabolism
Suggests	scran
Suggests	scrapper
Suggests	scmap
Suggests	Scissor
Suggests	Seurat
Suggests	SeuratObject
Suggests	ShennongOpt
Suggests	shadowtext
Suggests	SignatuR
Suggests	SingleR
Suggests	SingleCellExperiment
Suggests	slingshot
Suggests	SummarizedExperiment
Suggests	SoupX
Suggests	speckle
Suggests	SpatialExperiment
Suggests	symphony
Suggests	svglite
Suggests	testthat
Suggests	tradeSeq
Suggests	UCell
Suggests	variancePartition
Suggests	WGCNA
Suggests	survival
Suggests	withr
Remotes	zerostwo/shennong-opt
Remotes	cole-trapnell-lab/monocle3
Remotes	navinlabcode/copykat
Remotes	xiaolab-xjtu/RareQ
Remotes	sunduanchen/Scissor
Remotes	genecell/COSGR
Remotes	PaulingLiu/ROGUE
Remotes	bnprks/BPCells/r
Remotes	carmonalab/SignatuR
Remotes	catplot/catplot
Remotes	jinworks/CellChat
Remotes	immunogenomics/harmony@harmony2
Remotes	immunogenomics/lisi
Remotes	saezlab/liana
Remotes	saeyslab/nichenetr
Remotes	saeyslab/multinichenetr
Remotes	wu-yc/scMetabolism
Remotes	scverse/anndataR
