file	lines
acceleration.R	404
analysis_abundance.R	412
analysis_adapters.R	29
analysis_bulk.R	1318
analysis_celltypist.R	369
analysis_clustering.R	3499
analysis_cnv.R	494
analysis_communication.R	827
analysis_composition.R	616
analysis_de.R	644
analysis_deconvolution.R	824
analysis_enrichment.R	971
analysis_grn.R	245
analysis_integration_backends.R	1439
analysis_integration_benchmark.R	439
analysis_integration_metrics.R	1020
analysis_label_transfer.R	842
analysis_metabolism.R	327
analysis_metrics.R	2233
analysis_priority.R	1234
analysis_rare_cells.R	723
analysis_registry.R	246
analysis_regulatory.R	228
analysis_result.R	1145
analysis_rogue.R	192
analysis_spatial.R	708
analysis_trajectory.R	575
analysis_velocity_fate.R	470
annotation_ontology.R	105
annotation.R	827
codex_project.R	384
communication_standardization.R	319
data_io.R	1211
data.R	84
feature_annotation.R	361
figure_export.R	204
figure_spec.R	247
interpretation_backend.R	501
interpretation_evidence.R	1947
interpretation.R	1596
mcp_server.R	341
package_tools.R	730
pixi_runtime.R	944
plot_abundance.R	37
plot_annotation.R	84
plot_bulk.R	346
plot_cnv.R	91
plot_communication.R	181
plot_core_diagnostics.R	220
plot_grn.R	62
plot_metabolism.R	86
plot_priority.R	27
plot_program_discovery.R	54
plot_program.R	97
plot_results.R	230
plot_scissor.R	214
plot_spatial.R	160
plot_trajectory.R	209
plot_velocity_fate.R	53
preprocessing.R	2437
program_discovery.R	253
program_scoring.R	442
python_bridge.R	700
result_bundle.R	643
shennong-package.R	11
signatures.R	542
simulation.R	265
usage_tracking.R	2238
utils.R	835
visualization_density.R	192
visualization_palette.R	363
visualization_theme.R	301
visualization.R	2000
zzz.R	26
