timestamp	patch_name	tier	dataset	rep_idx	variant	sec	speedup_pct	speedup_x	peak_mb	peak_mb_change_pct	peak_mb_fold	pass	metrics_json	framework_version	package_version	note	system_os	system_cpu	system_ram_gb	system_threads
2026-08-01T13:48:02	seurat_joinlayers	small	human_organoid_tm25_tm26_tm29_tm30	1	baseline	2.419800			651.128906					0.3.1	SeuratObject 5.4.0.9001		Linux 7.0.0-28-generic	Intel(R) Core(TM) Ultra 9 285HX	91.7	1
2026-08-01T13:48:46	seurat_joinlayers	small	human_organoid_tm25_tm26_tm29_tm30	2	baseline	2.360016			651.398438					0.3.1	SeuratObject 5.4.0.9001		Linux 7.0.0-28-generic	Intel(R) Core(TM) Ultra 9 285HX	91.7	1
2026-08-01T13:49:30	seurat_joinlayers	small	human_organoid_tm25_tm26_tm29_tm30	3	baseline	2.391004			651.320312					0.3.1	SeuratObject 5.4.0.9001		Linux 7.0.0-28-generic	Intel(R) Core(TM) Ultra 9 285HX	91.7	1
2026-08-01T13:50:18	seurat_joinlayers	medium	human_organoid_9sample_mid_small	1	baseline	3.653139			727.414062					0.3.1	SeuratObject 5.4.0.9001		Linux 7.0.0-28-generic	Intel(R) Core(TM) Ultra 9 285HX	91.7	1
2026-08-01T13:52:35	seurat_joinlayers	medium	human_organoid_9sample_mid_small	2	baseline	3.867372			727.906250					0.3.1	SeuratObject 5.4.0.9001		Linux 7.0.0-28-generic	Intel(R) Core(TM) Ultra 9 285HX	91.7	1
2026-08-01T13:54:52	seurat_joinlayers	medium	human_organoid_9sample_mid_small	3	baseline	3.544557			727.781250					0.3.1	SeuratObject 5.4.0.9001		Linux 7.0.0-28-generic	Intel(R) Core(TM) Ultra 9 285HX	91.7	1
2026-08-01T14:13:00	seurat_joinlayers	large	human_organoid_16sample_large	1	baseline	9.021408			1011.699219					0.3.1	SeuratObject 5.4.0.9001		Linux 7.0.0-28-generic	Intel(R) Core(TM) Ultra 9 285HX	91.7	1
2026-08-01T13:48:40	seurat_joinlayers	small	human_organoid_tm25_tm26_tm29_tm30	1	patched	2.113463	12.659613	1.144946	529.707031	18.647901	1.229225	true	"{""assay_present"": 1, ""assay_inherits_assay5"": 1, ""layer_count_match"": 1, ""layer_name_match"": 1, ""dim_match"": 1, ""counts_dim_match"": 1, ""feature_order_match"": 1, ""cell_order_match"": 1, ""default_layer_match"": 1, ""variable_features_match"": 1, ""feature_metadata_match"": 1, ""misc_match"": 1, ""key_match"": 1, ""assay_orig_match"": 1, ""cells_logmap_match"": 1, ""features_logmap_match"": 1, ""backend_class_match"": 1, ""all_layer_raw_class_match"": 1, ""all_layer_accessor_class_match"": 1, ""all_layer_backend_class_match"": 1, ""all_layer_raw_attrs_match"": 1, ""all_layer_accessor_attrs_match"": 1, ""all_layer_raw_dimnames_match"": 1, ""all_layer_accessor_dimnames_match"": 1, ""all_layer_raw_structure_match"": 1, ""all_layer_payload_exact_match"": 1, ""all_layer_max_abs_diff"": 0, ""unselected_layer_name_match"": 1, ""unselected_layer_raw_class_match"": 1, ""unselected_layer_accessor_class_match"": 1, ""unselected_layer_backend_class_match"": 1, ""unselected_layer_raw_attrs_match"": 1, ""unselected_layer_accessor_attrs_match"": 1, ""unselected_layer_raw_dimnames_match"": 1, ""unselected_layer_accessor_dimnames_match"": 1, ""unselected_layer_raw_structure_match"": 1, ""unselected_layer_payload_exact_match"": 1, ""unselected_layer_max_abs_diff"": 0, ""counts_payload_exact_match"": 1, ""counts_max_abs_diff"": 0, ""counts_colsum_pearson"": 1, ""counts_rowsum_pearson"": 1, ""counts_colsum_q99_abs_diff"": 0, ""counts_rowsum_q99_abs_diff"": 0, ""assay_valid_object"": 1, ""warning_count_match"": 1, ""warning_message_match"": 1, ""input_immutability_match"": 1, ""input_after_reference_match"": 1, ""fast_route_match"": 1}"	0.3.1	SeuratObject 5.4.0.9001		Linux 7.0.0-28-generic	Intel(R) Core(TM) Ultra 9 285HX	91.7	1
2026-08-01T13:49:24	seurat_joinlayers	small	human_organoid_tm25_tm26_tm29_tm30	2	patched	2.049103	14.260180	1.166319	529.863281	18.640744	1.229116	true	"{""assay_present"": 1, ""assay_inherits_assay5"": 1, ""layer_count_match"": 1, ""layer_name_match"": 1, ""dim_match"": 1, ""counts_dim_match"": 1, ""feature_order_match"": 1, ""cell_order_match"": 1, ""default_layer_match"": 1, ""variable_features_match"": 1, ""feature_metadata_match"": 1, ""misc_match"": 1, ""key_match"": 1, ""assay_orig_match"": 1, ""cells_logmap_match"": 1, ""features_logmap_match"": 1, ""backend_class_match"": 1, ""all_layer_raw_class_match"": 1, ""all_layer_accessor_class_match"": 1, ""all_layer_backend_class_match"": 1, ""all_layer_raw_attrs_match"": 1, ""all_layer_accessor_attrs_match"": 1, ""all_layer_raw_dimnames_match"": 1, ""all_layer_accessor_dimnames_match"": 1, ""all_layer_raw_structure_match"": 1, ""all_layer_payload_exact_match"": 1, ""all_layer_max_abs_diff"": 0, ""unselected_layer_name_match"": 1, ""unselected_layer_raw_class_match"": 1, ""unselected_layer_accessor_class_match"": 1, ""unselected_layer_backend_class_match"": 1, ""unselected_layer_raw_attrs_match"": 1, ""unselected_layer_accessor_attrs_match"": 1, ""unselected_layer_raw_dimnames_match"": 1, ""unselected_layer_accessor_dimnames_match"": 1, ""unselected_layer_raw_structure_match"": 1, ""unselected_layer_payload_exact_match"": 1, ""unselected_layer_max_abs_diff"": 0, ""counts_payload_exact_match"": 1, ""counts_max_abs_diff"": 0, ""counts_colsum_pearson"": 1, ""counts_rowsum_pearson"": 1, ""counts_colsum_q99_abs_diff"": 0, ""counts_rowsum_q99_abs_diff"": 0, ""assay_valid_object"": 1, ""warning_count_match"": 1, ""warning_message_match"": 1, ""input_immutability_match"": 1, ""input_after_reference_match"": 1, ""fast_route_match"": 1}"	0.3.1	SeuratObject 5.4.0.9001		Linux 7.0.0-28-generic	Intel(R) Core(TM) Ultra 9 285HX	91.7	1
2026-08-01T13:50:07	seurat_joinlayers	small	human_organoid_tm25_tm26_tm29_tm30	3	patched	2.079830	13.014380	1.149615	530.011719	18.625028	1.228879	true	"{""assay_present"": 1, ""assay_inherits_assay5"": 1, ""layer_count_match"": 1, ""layer_name_match"": 1, ""dim_match"": 1, ""counts_dim_match"": 1, ""feature_order_match"": 1, ""cell_order_match"": 1, ""default_layer_match"": 1, ""variable_features_match"": 1, ""feature_metadata_match"": 1, ""misc_match"": 1, ""key_match"": 1, ""assay_orig_match"": 1, ""cells_logmap_match"": 1, ""features_logmap_match"": 1, ""backend_class_match"": 1, ""all_layer_raw_class_match"": 1, ""all_layer_accessor_class_match"": 1, ""all_layer_backend_class_match"": 1, ""all_layer_raw_attrs_match"": 1, ""all_layer_accessor_attrs_match"": 1, ""all_layer_raw_dimnames_match"": 1, ""all_layer_accessor_dimnames_match"": 1, ""all_layer_raw_structure_match"": 1, ""all_layer_payload_exact_match"": 1, ""all_layer_max_abs_diff"": 0, ""unselected_layer_name_match"": 1, ""unselected_layer_raw_class_match"": 1, ""unselected_layer_accessor_class_match"": 1, ""unselected_layer_backend_class_match"": 1, ""unselected_layer_raw_attrs_match"": 1, ""unselected_layer_accessor_attrs_match"": 1, ""unselected_layer_raw_dimnames_match"": 1, ""unselected_layer_accessor_dimnames_match"": 1, ""unselected_layer_raw_structure_match"": 1, ""unselected_layer_payload_exact_match"": 1, ""unselected_layer_max_abs_diff"": 0, ""counts_payload_exact_match"": 1, ""counts_max_abs_diff"": 0, ""counts_colsum_pearson"": 1, ""counts_rowsum_pearson"": 1, ""counts_colsum_q99_abs_diff"": 0, ""counts_rowsum_q99_abs_diff"": 0, ""assay_valid_object"": 1, ""warning_count_match"": 1, ""warning_message_match"": 1, ""input_immutability_match"": 1, ""input_after_reference_match"": 1, ""fast_route_match"": 1}"	0.3.1	SeuratObject 5.4.0.9001		Linux 7.0.0-28-generic	Intel(R) Core(TM) Ultra 9 285HX	91.7	1
2026-08-01T13:52:24	seurat_joinlayers	medium	human_organoid_9sample_mid_small	1	patched	2.305439	36.891556	1.584574	626.937500	13.812843	1.160266	true	"{""assay_present"": 1, ""assay_inherits_assay5"": 1, ""layer_count_match"": 1, ""layer_name_match"": 1, ""dim_match"": 1, ""counts_dim_match"": 1, ""feature_order_match"": 1, ""cell_order_match"": 1, ""default_layer_match"": 1, ""variable_features_match"": 1, ""feature_metadata_match"": 1, ""misc_match"": 1, ""key_match"": 1, ""assay_orig_match"": 1, ""cells_logmap_match"": 1, ""features_logmap_match"": 1, ""backend_class_match"": 1, ""all_layer_raw_class_match"": 1, ""all_layer_accessor_class_match"": 1, ""all_layer_backend_class_match"": 1, ""all_layer_raw_attrs_match"": 1, ""all_layer_accessor_attrs_match"": 1, ""all_layer_raw_dimnames_match"": 1, ""all_layer_accessor_dimnames_match"": 1, ""all_layer_raw_structure_match"": 1, ""all_layer_payload_exact_match"": 1, ""all_layer_max_abs_diff"": 0, ""unselected_layer_name_match"": 1, ""unselected_layer_raw_class_match"": 1, ""unselected_layer_accessor_class_match"": 1, ""unselected_layer_backend_class_match"": 1, ""unselected_layer_raw_attrs_match"": 1, ""unselected_layer_accessor_attrs_match"": 1, ""unselected_layer_raw_dimnames_match"": 1, ""unselected_layer_accessor_dimnames_match"": 1, ""unselected_layer_raw_structure_match"": 1, ""unselected_layer_payload_exact_match"": 1, ""unselected_layer_max_abs_diff"": 0, ""counts_payload_exact_match"": 1, ""counts_max_abs_diff"": 0, ""counts_colsum_pearson"": 1, ""counts_rowsum_pearson"": 1, ""counts_colsum_q99_abs_diff"": 0, ""counts_rowsum_q99_abs_diff"": 0, ""assay_valid_object"": 1, ""warning_count_match"": 1, ""warning_message_match"": 1, ""input_immutability_match"": 1, ""input_after_reference_match"": 1, ""fast_route_match"": 1}"	0.3.1	SeuratObject 5.4.0.9001		Linux 7.0.0-28-generic	Intel(R) Core(TM) Ultra 9 285HX	91.7	1
